DEPARTMENT,CATEGORY,SUBCATEGORY,BREADCRUMBS,SKU,PRODUCT_URL,PRODUCT_NAME,BRAND,PRICE_RETAIL,image
Deli,"Bacon, Hot Dogs, Sausage",,"Deli/Bacon, Hot Dogs, Sausage",40495518,https://www.walmart.com/ip/Great-Value-Original-Pepperoni-Slices-6-oz/40495518?fulfillmentIntent=Pickup&athbdg=L1600," Original Pepperoni Slices, 6 oz",Great Value,2.58,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTpvOXUuawb-jaRj6X54Ccu6IDvWWHOJcQxuuTEcapVnnVZHoqfDs_RtN73nQ&s
Deli,"Bacon, Hot Dogs, Sausage",,"Deli/Bacon, Hot Dogs, Sausage",840884039,https://www.walmart.com/ip/Marketside-Jumbo-Uncured-Angus-Beef-Franks-16-oz-4-Count/840884039?fulfillmentIntent=Pickup," Jumbo Uncured Angus Beef Franks, 16 oz, 4 Count",Marketside,4.98,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQbxBdF2eWPEUHgB1vXYp2tHqNtUTc4amonEiXXapP9reCMCQjzC0hGpx5ypCU&s
Deli,"Bacon, Hot Dogs, Sausage",,"Deli/Bacon, Hot Dogs, Sausage",114435065,https://www.walmart.com/ip/Great-Value-Vermont-Maple-Premium-Sausage-12-oz-8-Count/114435065?fulfillmentIntent=Pickup," Vermont Maple Premium Sausage, 12 oz, 8 Count",Great Value,2.76,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTkT715p6FhUwo7zkmJObFGDuTbYLnyFmy4GBbbTKtPdMwWGbVN-QwedvOrWj8&s
Deli,"Bacon, Hot Dogs, Sausage",,"Deli/Bacon, Hot Dogs, Sausage",44391087,https://www.walmart.com/ip/Great-Value-Thick-Sliced-Bacon-Hickory-Smoked-16-oz/44391087?fulfillmentIntent=Pickup," Thick Sliced Bacon Hickory Smoked, 16 oz",Great Value,4.48,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQFijCg--2I5h1B5XDUdytuzIJMF7f44Agm4iB2-3qCpxmpi29q3TaEI2R--w&s
Deli,"Bacon, Hot Dogs, Sausage",,"Deli/Bacon, Hot Dogs, Sausage",36479865,https://www.walmart.com/ip/Sam-s-Choice-Fully-Cooked-Uncured-Turkey-Bacon-3-oz-14-slices/36479865?fulfillmentIntent=Pickup," Fully Cooked Uncured Turkey Bacon, 3 oz, 14 slices",Sam's Choice,3.92,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_-NtfsjizPZYeNEoDM5zIEzkVMtmL_t4xb2Th7X-JT283vP2wG9PtCyqmfQ&s
Deli,"Bacon, Hot Dogs, Sausage",,"Deli/Bacon, Hot Dogs, Sausage",446441225,https://www.walmart.com/ip/Marketside-Jalapeno-Cheddar-Cheese-Smoked-Sausage-14-oz-6-Count/446441225?fulfillmentIntent=Pickup," Jalapeno & Cheddar Cheese Smoked Sausage, 14 oz, 6 Count",Marketside,3.84,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRJ4hvQoGaPnmcxYjNF7cdccZRMvS2gGh8vflDXppepCuGb40QG0CKQAY0gmA&s
Deli,"Bacon, Hot Dogs, Sausage",,"Deli/Bacon, Hot Dogs, Sausage",656353634,https://www.walmart.com/ip/Marketside-All-Natural-Cajun-Style-Andouille-Smoked-Sausage/656353634?fulfillmentIntent=Pickup, All Natural Cajun Style Andouille Smoked Sausage,Marketside,3.84,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQiAMcFJHheeqq-QT2R_ud4s4L65qYy-DRLRwIp5JGXQkmAudy2l7wEJeEaKts&s
Deli,"Bacon, Hot Dogs, Sausage",,"Deli/Bacon, Hot Dogs, Sausage",483646515,https://www.walmart.com/ip/Great-Value-Original-Pepperoni-Mega-Pack-21-oz/483646515?fulfillmentIntent=Pickup," Original Pepperoni Mega Pack, 21 oz",Great Value,7.68,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQnfsv9iOk5puVHBgkFUM_m5298XOWlDx_s0LrlvorAC2mpPz50D6t1--JocX8&s
Deli,"Bacon, Hot Dogs, Sausage",,"Deli/Bacon, Hot Dogs, Sausage",23816525,https://www.walmart.com/ip/Great-Value-Hickory-Smoked-Bacon-12-oz/23816525?fulfillmentIntent=Pickup&athbdg=L1600," Hickory Smoked Bacon, 12 oz",Great Value,3.72,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQRSRsF0SUJDL2A7PcflIfuXP1R3tmybkx_Qq2pYeDB9lUufN1ROe7wNsn7Ew&s
Deli,"Bacon, Hot Dogs, Sausage",,"Deli/Bacon, Hot Dogs, Sausage",36511541,https://www.walmart.com/ip/Sam-s-Choice-Uncured-Turkey-Bacon-10-oz-12-Pieces-per-Pack/36511541?fulfillmentIntent=Pickup," Uncured Turkey Bacon, 10 oz, 12 Pieces per Pack",Sam's Choice,3.68,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRs-fZlIWmDs71mDYUV9F_mZSxVQS6FFe8oj3kL9Kle_A18Wemf89r-ELhqOA&s
